id,display_name
40555,Colacogloea peniophorae<Colacogloea<Saccharomycetales
39499,Colletotrichum gloeosporioides<Glomerella
57170,Collinia sp.<Collinia<Scuticociliatia X
57026,Collinia sp.<Collinia<Colliniidae
12855,Gymnolaemata
27846,Collosphaeridae<Collosphaeridae
17334,Collosphaeridae<Collodaria
55162,Collosphaeridae sp.<Collosphaeridae<Collosphaeridae
18510,Colpodidiidae<Nassophorea X
26732,Comesomatidae<Monhysterida
26690,Comesomatidae<Chromadorea X
14348,Compsopogon caeruleus<Compsopogon
91074,Conopholis americana<Chloroplast
33335,Conopholis americana<Conopholis
31698,Coolia<Ostreopsidaceae<Gonyaulacales
18776,Coolia<Dinophyceae X
58164,Coolia sp.<Coolia<Ostreopsidaceae<Dinophyceae X
37350,Corynelia uberata<Corynelia<Eurotiomycetes
16635,Craniata<Craniiformea
25896,Cristatella<Cristatellidae
25882,Cristatella<Bryozoa XX
31678,Crypthecodinium<Crypthecodiniaceae
31540,Crypthecodinium cohnii<Crypthecodinium<Dinophyceae X
85317,cocco 16 temp
58230,Crypthecodinium sp.<Crypthecodinium<Crypthecodiniaceae
33408,Cryptomeria fortunei<Cryptomeria
13104,Cryptomonas curvata<Cryptomonas
91083,Cryptomonas paramecium<Chloroplast
13095,Cryptomonas paramecium<Cryptomonas
79012,Cryptoperidiniopsis brodyi<Cryptoperidiniopsis 05
93015,female<Acartia tonsa
31583,Neoceratium pentagonum
58498,Cryptoperidiniopsis brodyi<Cryptoperidiniopsis
50291,Cryptotermes<Pterygota
12659,Cryptotermes<Cryptotermes-Clade
12653,Cryptotermes<Calonymphidae-Devescovinidae
51183,Megalocercus
16094,Cryptotermes domesticus<Cryptotermes<Cryptotermes-Clade
16053,Cryptotermes domesticus<Cryptotermes<Calonymphidae-Devescovinidae
48599,Ctenophthalmus<Pterygota<Insecta<Hexapoda
33416,Cunninghamia lanceolata var. konishii<Cunninghamia
33421,Cupressus gigantea<Cupressus
33448,Cuscuta gronovii<Cuscuta
92300,CVstage<Calanus glacialis
91093,Cyanidium caldarium<Chloroplast
11299,Cyanophora paradoxa<Cyanophora
91554,Cycas taitungensis<Chloroplast
78002,Cycloclypeus carpenteri<Cycloclypeus<R clade 2
28093,Cycloclypeus carpenteri<Cycloclypeus<araphid pennates
